player_id,name,pos,off_war,pit_war,fld_war,total_war
borur001,Ryan Borucki,P,0.0,-0.5836292505264282,0.0,-0.58362925
eiseb001,Brandon Eisert,P,0.0,-0.13555820286273956,0.0,-0.1355582
freek001,Kyle Freeland,P,0.0,0.14150139689445496,0.0,0.1415014
delac001,Chase DeLauter,RF,0.2871953845024109,0.0,0.0,0.28719538
bensw001,Will Benson,RF,-0.15896807610988617,0.0,0.0,-0.15896808
x680802,Ryan Weiss,P,0.0,-0.5320355892181396,0.0,-0.5320356
dezez001,Zach Dezenzo,LF,-0.0229889415204525,0.0,0.0,-0.022988942
allen002,Nick Allen,SS,-0.15450677275657654,0.0,0.0,-0.15450677
blisr001,Ryan Bliss,2B,-0.015397374518215656,0.0,0.0,-0.0153973745
grayt001,Tristan Gray,3B,-0.11566653102636337,0.0,0.0,-0.11566653
naylb001,Bo Naylor,C,-0.5650126934051514,0.0,0.0,-0.5650127
corbp001,Patrick Corbin,P,0.0,0.4437046945095062,0.0,0.4437047
mcgee001,Easton McGee,P,0.0,-0.024986376985907555,0.0,-0.024986377
holdc001,Colin Holderman,P,0.0,0.1144799143075943,0.0,0.114479914
ashcb001,Braxton Ashcraft,P,0.0,0.4072325825691223,0.0,0.40723258
canzd001,Dominic Canzone,RF,-0.048483751714229584,0.0,0.0,-0.04848375
schwk001,Kyle Schwarber,LF,0.2754966616630554,0.0,0.0,0.27549666
bernb001,Brennan Bernardino,P,0.0,-0.1561063826084137,0.0,-0.15610638
tavel001,Leody Taveras,CF,0.15158763527870178,0.0,0.0,0.15158764
crowp001,Pete Crow-Armstrong,CF,0.7866800427436829,0.0,0.0,0.78668004
mikom001,Miles Mikolas,P,0.0,-0.614248514175415,0.0,-0.6142485
espis001,Santiago Espinal,3B,-0.15958009660243988,0.0,0.0,-0.1595801
roycc001,Chris Roycroft,P,0.0,-0.18386805057525635,0.0,-0.18386805
earlc001,Connelly Early,P,0.0,0.13454289734363556,0.0,0.1345429
x701678,Hao-Yu  Lee,3B,-0.1295318305492401,0.0,0.0,-0.12953183
loweb001,Brandon Lowe,2B,0.15297624468803406,0.0,0.0,0.15297624
reynb001,Bryan Reynolds,LF,0.4233384132385254,0.0,0.0,0.4233384
nanct001,Tommy Nance,P,0.0,-0.40480130910873413,0.0,-0.4048013
yelic001,Christian Yelich,LF,-0.02300240471959114,0.0,0.0,-0.023002405
naylj001,Josh Naylor,1B,-0.32327958941459656,0.0,0.0,-0.3232796
paddc001,Chris Paddack,P,0.0,-0.5260504484176636,0.0,-0.52605045
melem001,MJ Melendez,LF,-0.24446244537830353,0.0,0.0,-0.24446245
crisc002,Cooper Criswell,P,0.0,0.20103883743286133,0.0,0.20103884
hamii001,Ian Hamilton,P,0.0,-0.011119690723717213,0.0,-0.011119691
nolaa001,Aaron Nola,P,0.0,0.02830967865884304,0.0,0.028309679
x687562,Jake Bennett,P,0.0,0.08356102555990219,0.0,0.083561026
basas001,Samuel Basallo,C,0.04980546236038208,0.0,0.0,0.049805462
sprob001,Brandon Sproat,P,0.0,-0.7060426473617554,0.0,-0.70604265
muncm002,Max Muncy,3B,-0.14854538440704346,0.0,0.0,-0.14854538
robee001,Ethan Roberts,P,0.0,-0.1408272683620453,0.0,-0.14082727
trioj001,Jared Triolo,SS,-0.22662267088890076,0.0,0.0,-0.22662267
