player_id,name,pos,off_war,pit_war,fld_war,total_war
borur001,Ryan Borucki,P,0.0,-0.013279768638312817,0.0,-0.013279769
altuj001,Jose Altuve,2B,-0.01564405858516693,0.0,0.0,-0.015644059
freek001,Kyle Freeland,P,0.0,-0.06479935348033905,0.0,-0.06479935
delac001,Chase DeLauter,RF,0.10481445491313934,0.0,0.0,0.104814455
bensw001,Will Benson,RF,-0.00416590366512537,0.0,0.0,-0.0041659037
bruij001,Justin Bruihl,P,0.0,-0.1023324579000473,0.0,-0.10233246
x680802,Ryan Weiss,P,0.0,-0.014907369390130043,0.0,-0.014907369
allen002,Nick Allen,SS,-0.004039241001009941,0.0,0.0,-0.004039241
blisr001,Ryan Bliss,2B,-0.004597616847604513,0.0,0.0,-0.004597617
palar002,Richie Palacios,2B,-0.02659873105585575,0.0,0.0,-0.026598731
pomed001,Drew Pomeranz,P,0.0,0.030972471460700035,0.0,0.030972471
naylb001,Bo Naylor,C,-0.08691029250621796,0.0,0.0,-0.08691029
holdc001,Colin Holderman,P,0.0,-0.0568024143576622,0.0,-0.056802414
canzd001,Dominic Canzone,RF,0.03589218482375145,0.0,0.0,0.035892185
schwk001,Kyle Schwarber,LF,0.014338451437652111,0.0,0.0,0.014338451
canoy001,Yennier Cano,P,0.0,-0.07357968389987946,0.0,-0.073579684
bernb001,Brennan Bernardino,P,0.0,-0.09567788988351822,0.0,-0.09567789
ariag002,Gabriel Arias,SS,-0.0050081186927855015,0.0,0.0,-0.0050081187
peraf001,Freddy Peralta,P,0.0,-0.0449279248714447,0.0,-0.044927925
davih001,Henry Davis,C,-0.008848730474710464,0.0,0.0,-0.0088487305
tavel001,Leody Taveras,CF,-0.00536861689761281,0.0,0.0,-0.005368617
crowp001,Pete Crow-Armstrong,CF,0.07465945184230804,0.0,0.0,0.07465945
mikom001,Miles Mikolas,P,0.0,-0.298568457365036,0.0,-0.29856846
espis001,Santiago Espinal,3B,-0.009441041387617588,0.0,0.0,-0.009441041
roycc001,Chris Roycroft,P,0.0,-0.1023324579000473,0.0,-0.10233246
loweb001,Brandon Lowe,2B,-0.017219876870512962,0.0,0.0,-0.017219877
reynb001,Bryan Reynolds,LF,-0.020132778212428093,0.0,0.0,-0.020132778
nanct001,Tommy Nance,P,0.0,-0.08233984559774399,0.0,-0.082339846
yelic001,Christian Yelich,LF,0.07418566942214966,0.0,0.0,0.07418567
molls001,Sam Moll,P,0.0,0.03705466166138649,0.0,0.03705466
fairp001,Pete Fairbanks,P,0.0,0.05180896073579788,0.0,0.05180896
quere001,Edgar Quero,C,-0.021830471232533455,0.0,0.0,-0.021830471
naylj001,Josh Naylor,1B,-0.026341015473008156,0.0,0.0,-0.026341015
crisc002,Cooper Criswell,P,0.0,-0.017656812444329262,0.0,-0.017656812
nolaa001,Aaron Nola,P,0.0,-0.10299434512853622,0.0,-0.102994345
ashcg001,Graham Ashcraft,P,0.0,0.04548463970422745,0.0,0.04548464
basas001,Samuel Basallo,C,-0.013989242725074291,0.0,0.0,-0.013989243
muncm002,Max Muncy,3B,-0.029900694265961647,0.0,0.0,-0.029900694
trioj001,Jared Triolo,SS,-0.05483249947428703,0.0,0.0,-0.0548325
tovae001,Ezequiel Tovar,SS,0.012971505522727966,0.0,0.0,0.0129715055
roblv001,Victor Robles,RF,-0.006383858621120453,0.0,0.0,-0.0063838586
x808959,Munetaka Murakami,1B,-0.025986740365624428,0.0,0.0,-0.02598674
varll001,Louis Varland,P,0.0,0.011004896834492683,0.0,0.011004897
uriba001,Abner Uribe,P,0.0,0.02412908338010311,0.0,0.024129083
kellc002,Carson Kelly,C,-0.007830733433365822,0.0,0.0,-0.007830733
marta007,Austin Martin,LF,-0.011883486993610859,0.0,0.0,-0.011883487
castn001,Nick Castellanos,RF,-0.01205198559910059,0.0,0.0,-0.012051986
fulfb001,Braxton Fulford,C,-0.0036509488709270954,0.0,0.0,-0.0036509489
acunr001,Ronald Acuña Jr.,RF,-0.05531768873333931,0.0,0.0,-0.05531769
willc002,Carson Williams,SS,-0.020785707980394363,0.0,0.0,-0.020785708
bradt002,Taj Bradley,P,0.0,0.03236059844493866,0.0,0.0323606
bednd001,David Bednar,P,0.0,0.020403893664479256,0.0,0.020403894
ramiy002,Yohan Ramírez,P,0.0,-0.012092466466128826,0.0,-0.0120924665
brega001,Alex Bregman,3B,0.05374278500676155,0.0,0.0,0.053742785
boydm001,Matthew Boyd,P,0.0,-0.3843845725059509,0.0,-0.38438457
pop-z001,Zach Pop,P,0.0,0.018858786672353745,0.0,0.018858787
brogc001,Connor Brogdon,P,0.0,-0.04670066758990288,0.0,-0.046700668
parei001,Isaac Paredes,3B,0.04391312599182129,0.0,0.0,0.043913126
could001,Danny Coulombe,P,0.0,0.01242734957486391,0.0,0.01242735
deluj001,Jonny DeLuca,RF,0.00022004097991157323,0.0,0.0,0.00022004098
rosaa003,Amed Rosario,3B,-0.01113212388008833,0.0,0.0,-0.011132124
smitw003,Will Smith,C,0.10702642053365707,0.0,0.0,0.10702642
vasqr001,Randy Vásquez,P,0.0,0.18504321575164795,0.0,0.18504322
judga001,Aaron Judge,RF,0.07041122019290924,0.0,0.0,0.07041122
friet001,TJ Friedl,CF,-0.04700037091970444,0.0,0.0,-0.04700037
dubom001,Mauricio Dubón,SS,-0.011377559043467045,0.0,0.0,-0.011377559
cleag001,Garrett Cleavinger,P,0.0,-0.18077191710472107,0.0,-0.18077192
winnk001,Keaton Winn,P,0.0,0.05286061018705368,0.0,0.05286061
smits003,Shane Smith,P,0.0,-0.09238336980342865,0.0,-0.09238337
friem001,Max Fried,P,0.0,0.08022274076938629,0.0,0.08022274
kingm002,Michael King,P,0.0,0.16092932224273682,0.0,0.16092932
beavd001,Dylan Beavers,RF,-0.00980583019554615,0.0,0.0,-0.00980583
perdg001,Geraldo Perdomo,SS,-0.00830878596752882,0.0,0.0,-0.008308786
herrt002,Tim Herrin,P,0.0,0.03798189014196396,0.0,0.03798189
hudsb001,Bryan Hudson,P,0.0,0.06046906113624573,0.0,0.06046906
horws001,Spencer Horwitz,1B,-0.014342926442623138,0.0,0.0,-0.014342926
ralec001,Cal Raleigh,C,-0.1169474869966507,0.0,0.0,-0.11694749
yamay001,Yoshinobu Yamamoto,P,0.0,-0.06947366893291473,0.0,-0.06947367
mccaj001,James McCann,C,-0.015179865062236786,0.0,0.0,-0.015179865
javic001,Cristian Javier,P,0.0,-0.2444167137145996,0.0,-0.24441671
lopej008,Joey Loperfido,LF,0.02675081230700016,0.0,0.0,0.026750812
sotog003,Gregory Soto,P,0.0,0.22683079540729523,0.0,0.2268308
ferrj002,José A. Ferrer,P,0.0,0.028622735291719437,0.0,0.028622735
wiemj001,Joey Wiemer,RF,0.008868004195392132,0.0,0.0,0.008868004
romaj004,Jordan Romano,P,0.0,0.06700357794761658,0.0,0.06700358
thiec001,Caleb Thielbar,P,0.0,0.0172699186950922,0.0,0.017269919
greer003,Riley Greene,LF,-0.0232259389013052,0.0,0.0,-0.023225939
hillj002,Jaden Hill,P,0.0,-0.03648565337061882,0.0,-0.036485653
sheeg001,Gavin Sheets,1B,-0.048738736659288406,0.0,0.0,-0.048738737
frant002,Ty France,1B,-0.0034339935518801212,0.0,0.0,-0.0034339936
cavac001,Cade Cavalli,P,0.0,-0.10697479546070099,0.0,-0.106974795
headb001,Brent Headrick,P,0.0,0.04536954313516617,0.0,0.045369543
durbc002,Caleb Durbin,3B,-0.0008253827691078186,0.0,0.0,-0.00082538277
churn001,Nathan Church,LF,-0.03599683195352554,0.0,0.0,-0.035996832
ceasd001,Dylan Cease,P,0.0,0.2095516473054886,0.0,0.20955165
moreg001,Gabriel Moreno,C,-0.0021583265624940395,0.0,0.0,-0.0021583266
hayek001,Ke'Bryan Hayes,3B,-0.0502513125538826,0.0,0.0,-0.050251313
alexb001,Blaze Alexander,3B,-0.0023289022501558065,0.0,0.0,-0.0023289023
petet002,Tristan Peters,CF,-0.0038054771721363068,0.0,0.0,-0.0038054772
jensc001,Carter Jensen,C,-0.019778963178396225,0.0,0.0,-0.019778963
paulg001,Graham Pauley,3B,-0.01605122908949852,0.0,0.0,-0.01605123
slata001,Austin Slater,LF,-0.005363582633435726,0.0,0.0,-0.0053635826
roget002,Tyler Rogers,P,0.0,0.0628388375043869,0.0,0.06283884
gricr001,Randal Grichuk,LF,-0.009692952036857605,0.0,0.0,-0.009692952
warrw001,Will Warren,P,0.0,-0.034307703375816345,0.0,-0.034307703
aranj001,Jonathan Aranda,1B,0.0007901210337877274,0.0,0.0,0.00079012103
svanm001,Matt Svanson,P,0.0,-0.4078598916530609,0.0,-0.4078599
kirbg001,George Kirby,P,0.0,0.22262242436408997,0.0,0.22262242
kinei001,Isiah Kiner-Falefa,2B,-0.007093801163136959,0.0,0.0,-0.007093801
suteb001,Brent Suter,P,0.0,0.2135957032442093,0.0,0.2135957
browh001,Hunter Brown,P,0.0,0.2454088181257248,0.0,0.24540882
hoffj003,Jeff Hoffman,P,0.0,-0.018330585211515427,0.0,-0.018330585
solej001,Jorge Soler,RF,0.05732835456728935,0.0,0.0,0.057328355
mille002,Erik Miller,P,0.0,0.11738934367895126,0.0,0.11738934
barga001,Addison Barger,RF,-0.031020546332001686,0.0,0.0,-0.031020546
white006,Eli White,CF,-0.00792849063873291,0.0,0.0,-0.007928491
gausk001,Kevin Gausman,P,0.0,0.16070705652236938,0.0,0.16070706
orzee001,Eric Orze,P,0.0,0.0671696737408638,0.0,0.067169674
x681198,TJ Rumfield,1B,0.012693902477622032,0.0,0.0,0.0126939025
lawlj001,Jordan Lawlar,LF,-0.013979472219944,0.0,0.0,-0.013979472
milnh001,Hoby Milner,P,0.0,0.023900553584098816,0.0,0.023900554
piven001,Nick Pivetta,P,0.0,-0.31571704149246216,0.0,-0.31571704
conig001,Griffin Conine,LF,-0.014150945469737053,0.0,0.0,-0.0141509455
seagc001,Corey Seager,SS,0.019406292587518692,0.0,0.0,0.019406293
schlc001,Cam Schlittler,P,0.0,0.06588449329137802,0.0,0.06588449
rodrb001,Bradgley Rodriguez,P,0.0,0.053456615656614304,0.0,0.053456616
okers001,Steven Okert,P,0.0,0.04604489356279373,0.0,0.046044894
narda001,Andrew Nardi,P,0.0,0.011983554810285568,0.0,0.011983555
yorkn001,Nick Yorke,3B,-0.02656993828713894,0.0,0.0,-0.026569938
benia002,Andrew Benintendi,LF,-0.01291086245328188,0.0,0.0,-0.012910862
luccj001,Joey Lucchesi,P,0.0,-0.3824518918991089,0.0,-0.3824519
contw001,Willson Contreras,1B,-0.011090951040387154,0.0,0.0,-0.011090951
smitj007,Josh Smith,2B,-0.04268314689397812,0.0,0.0,-0.042683147
mcmar001,Ryan McMahon,3B,0.06761077046394348,0.0,0.0,0.06761077
abrac001,CJ Abrams,SS,0.020125674083828926,0.0,0.0,0.020125674
lewir003,Royce Lewis,3B,-0.011790737509727478,0.0,0.0,-0.0117907375
mcnej002,Jeff McNeil,2B,-0.03286832571029663,0.0,0.0,-0.032868326
walkc002,Christian Walker,1B,-0.009530373848974705,0.0,0.0,-0.009530374
fermf002,Freddy Fermin,C,0.0055624996311962605,0.0,0.0,0.0055624996
faltb001,Bailey Falter,P,0.0,0.018193697556853294,0.0,0.018193698
payaj001,Joel Payamps,P,0.0,-0.015399694442749023,0.0,-0.015399694
beckj003,Jordan Beck,LF,-0.011195367202162743,0.0,0.0,-0.011195367
diazy001,Yandy Díaz,1B,-0.03875679150223732,0.0,0.0,-0.03875679
clart003,Taylor Clarke,P,0.0,-0.1458745151758194,0.0,-0.14587452
hoffa001,Andrew Hoffmann,P,0.0,-0.0705619603395462,0.0,-0.07056196
bichb001,Bo Bichette,3B,-0.023730410262942314,0.0,0.0,-0.02373041
winnc001,Cole Winn,P,0.0,0.009512560442090034,0.0,0.00951256
ibana001,Andy Ibáñez,2B,-0.002199044916778803,0.0,0.0,-0.002199045
rutsa001,Adley Rutschman,C,-0.044748760759830475,0.0,0.0,-0.04474876
hilld002,Derek Hill,RF,-0.00257641589269042,0.0,0.0,-0.002576416
