player_id,name,pos,off_war,pit_war,fld_war,total_war
borur001,Ryan Borucki,P,0.0,-0.5805070996284485,0.0,-0.5805071
eiseb001,Brandon Eisert,P,0.0,-0.1327711045742035,0.0,-0.1327711
freek001,Kyle Freeland,P,0.0,0.14815369248390198,0.0,0.14815369
delac001,Chase DeLauter,RF,0.397324800491333,0.0,0.0,0.3973248
bensw001,Will Benson,RF,-0.1571951061487198,0.0,0.0,-0.1571951
x680802,Ryan Weiss,P,0.0,-0.5089598298072815,0.0,-0.50895983
dezez001,Zach Dezenzo,LF,-0.02332642301917076,0.0,0.0,-0.023326423
allen002,Nick Allen,SS,-0.15655067563056946,0.0,0.0,-0.15655068
blisr001,Ryan Bliss,2B,-0.015615390613675117,0.0,0.0,-0.015615391
grayt001,Tristan Gray,3B,-0.11635176837444305,0.0,0.0,-0.11635177
naylb001,Bo Naylor,C,-0.5128639936447144,0.0,0.0,-0.512864
corbp001,Patrick Corbin,P,0.0,0.44663161039352417,0.0,0.4466316
mcgee001,Easton McGee,P,0.0,-0.024614891037344933,0.0,-0.024614891
holdc001,Colin Holderman,P,0.0,0.12029664218425751,0.0,0.12029664
ashcb001,Braxton Ashcraft,P,0.0,0.410667359828949,0.0,0.41066736
canzd001,Dominic Canzone,RF,-0.04395667463541031,0.0,0.0,-0.043956675
schwk001,Kyle Schwarber,LF,0.22073106467723846,0.0,0.0,0.22073106
bernb001,Brennan Bernardino,P,0.0,-0.116777203977108,0.0,-0.116777204
tavel001,Leody Taveras,CF,0.14127005636692047,0.0,0.0,0.14127006
crowp001,Pete Crow-Armstrong,CF,0.8837855458259583,0.0,0.0,0.88378555
mikom001,Miles Mikolas,P,0.0,-0.612765908241272,0.0,-0.6127659
espis001,Santiago Espinal,3B,-0.16598248481750488,0.0,0.0,-0.16598248
roycc001,Chris Roycroft,P,0.0,-0.18030518293380737,0.0,-0.18030518
earlc001,Connelly Early,P,0.0,0.1403927505016327,0.0,0.14039275
x701678,Hao-Yu  Lee,3B,-0.13679282367229462,0.0,0.0,-0.13679282
loweb001,Brandon Lowe,2B,0.14073613286018372,0.0,0.0,0.14073613
reynb001,Bryan Reynolds,LF,0.4389265179634094,0.0,0.0,0.43892652
nanct001,Tommy Nance,P,0.0,-0.4013856053352356,0.0,-0.4013856
yelic001,Christian Yelich,LF,-0.03296186774969101,0.0,0.0,-0.032961868
naylj001,Josh Naylor,1B,-0.31489086151123047,0.0,0.0,-0.31489086
paddc001,Chris Paddack,P,0.0,-0.5352519750595093,0.0,-0.535252
melem001,MJ Melendez,LF,-0.25987350940704346,0.0,0.0,-0.2598735
crisc002,Cooper Criswell,P,0.0,0.20464317500591278,0.0,0.20464318
hamii001,Ian Hamilton,P,0.0,-0.01095388364046812,0.0,-0.010953884
nolaa001,Aaron Nola,P,0.0,0.0756099671125412,0.0,0.07560997
x687562,Jake Bennett,P,0.0,0.005039219744503498,0.0,0.0050392197
basas001,Samuel Basallo,C,0.062184643000364304,0.0,0.0,0.062184643
sprob001,Brandon Sproat,P,0.0,-0.6988054513931274,0.0,-0.69880545
muncm002,Max Muncy,3B,-0.21147093176841736,0.0,0.0,-0.21147093
robee001,Ethan Roberts,P,0.0,-0.13972541689872742,0.0,-0.13972542
trioj001,Jared Triolo,SS,-0.2715994417667389,0.0,0.0,-0.27159944
tovae001,Ezequiel Tovar,SS,-0.06411455571651459,0.0,0.0,-0.064114556
x808959,Munetaka Murakami,1B,0.43707966804504395,0.0,0.0,0.43707967
varll001,Louis Varland,P,0.0,0.3023257851600647,0.0,0.3023258
garcb002,Brandyn Garcia,P,0.0,0.07972745597362518,0.0,0.079727456
kellc002,Carson Kelly,C,0.38790950179100037,0.0,0.0,0.3879095
marta007,Austin Martin,LF,-0.07493873685598373,0.0,0.0,-0.07493874
morec001,Christopher Morel,LF,-0.16140007972717285,0.0,0.0,-0.16140008
castn001,Nick Castellanos,RF,-0.14090657234191895,0.0,0.0,-0.14090657
fulfb001,Braxton Fulford,C,-0.0266252513974905,0.0,0.0,-0.026625251
ceccs001,Slade Cecconi,P,0.0,-0.39812806248664856,0.0,-0.39812806
bradt002,Taj Bradley,P,0.0,1.0638419389724731,0.0,1.0638419
bednd001,David Bednar,P,0.0,-0.05451623350381851,0.0,-0.054516234
ramiy002,Yohan Ramírez,P,0.0,-0.4479222297668457,0.0,-0.44792223
boydm001,Matthew Boyd,P,0.0,-0.5445889234542847,0.0,-0.5445889
brega001,Alex Bregman,3B,0.38264554738998413,0.0,0.0,0.38264555
parei001,Isaac Paredes,3B,0.14835847914218903,0.0,0.0,0.14835848
could001,Danny Coulombe,P,0.0,-0.05890023708343506,0.0,-0.058900237
estrl002,Lazaro Estrada,P,0.0,0.07846866548061371,0.0,0.078468665
rosaa003,Amed Rosario,3B,-0.17401711642742157,0.0,0.0,-0.17401712
curvl001,Luis Curvelo,P,0.0,0.01025305688381195,0.0,0.010253057
smitw003,Will Smith,C,0.0874798446893692,0.0,0.0,0.087479845
dubom001,Mauricio Dubón,SS,0.5189160704612732,0.0,0.0,0.5189161
cleag001,Garrett Cleavinger,P,0.0,-0.1584712415933609,0.0,-0.15847124
halpp001,Petey Halpin,CF,-0.09969032555818558,0.0,0.0,-0.099690326
kingm002,Michael King,P,0.0,0.7948612570762634,0.0,0.79486126
pettc002,Chase Petty,P,0.0,0.034363165497779846,0.0,0.034363165
poncc002,Cody Ponce,P,0.0,0.038635771721601486,0.0,0.03863577
beavd001,Dylan Beavers,RF,0.1675335317850113,0.0,0.0,0.16753353
irvij001,Jake Irvin,P,0.0,-0.09777854382991791,0.0,-0.097778544
perdg001,Geraldo Perdomo,SS,0.18436641991138458,0.0,0.0,0.18436642
horws001,Spencer Horwitz,1B,0.6856449842453003,0.0,0.0,0.685645
junkj001,Janson Junk,P,0.0,0.4661630690097809,0.0,0.46616307
krisb001,Brooks Kriske,P,0.0,0.01617942750453949,0.0,0.016179428
mccaj001,James McCann,C,-0.1473882496356964,-0.14101676642894745,0.0,-0.288405
sotog003,Gregory Soto,P,0.0,0.5116567611694336,0.0,0.51165676
ferrj002,José A. Ferrer,P,0.0,-0.06323593854904175,0.0,-0.06323594
lugos001,Seth Lugo,P,0.0,0.7585939168930054,0.0,0.7585939
romaj004,Jordan Romano,P,0.0,-0.1314065009355545,0.0,-0.1314065
greer003,Riley Greene,LF,0.2811891436576843,0.0,0.0,0.28118914
headb001,Brent Headrick,P,0.0,0.6229004859924316,0.0,0.6229005
littz001,Zack Littell,P,0.0,-0.933887779712677,0.0,-0.9338878
hayek001,Ke'Bryan Hayes,3B,-0.6686367988586426,0.0,0.0,-0.6686368
petet002,Tristan Peters,CF,0.057251863181591034,0.0,0.0,0.057251863
hoffn001,Nolan Hoffman,P,0.0,0.03567080944776535,0.0,0.03567081
roget002,Tyler Rogers,P,0.0,0.340559184551239,0.0,0.34055918
gricr001,Randal Grichuk,LF,-0.19541293382644653,0.0,0.0,-0.19541293
warrw001,Will Warren,P,0.0,0.46628546714782715,0.0,0.46628547
degrj001,Jacob deGrom,P,0.0,0.6657994985580444,0.0,0.6657995
maurr002,Ronny Mauricio,SS,-0.1534980833530426,0.0,0.0,-0.15349808
browh001,Hunter Brown,P,0.0,0.29250818490982056,0.0,0.29250818
solej001,Jorge Soler,RF,0.4182474613189697,0.0,0.0,0.41824746
white006,Eli White,CF,-0.1942444145679474,0.0,0.0,-0.19424441
x681198,TJ Rumfield,1B,0.37402451038360596,0.0,0.0,0.3740245
lawlj001,Jordan Lawlar,LF,-0.11685925722122192,0.0,0.0,-0.11685926
conig001,Griffin Conine,LF,-0.0945805162191391,0.0,0.0,-0.094580516
